City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,20.91,79,100,2.12,US,1689927113
1,magadan,59.5667,150.8,23.63,76,17,4.04,RU,1689927114
2,monticello,45.3055,-93.7941,16.79,96,75,0.0,US,1689927114
3,lincheng,19.9078,109.6858,31.76,68,94,5.36,CN,1689927114
4,lodeynoye pole,60.726,33.5531,17.65,66,100,5.61,RU,1689927114
5,saldanha,-33.0117,17.9442,11.01,52,54,3.63,ZA,1689927114
6,qaqortoq,60.7167,-46.0333,5.32,97,100,4.91,GL,1689927114
7,iqaluit,63.7506,-68.5145,3.85,100,75,1.54,CA,1689927115
8,waitangi,-43.9535,-176.5597,9.34,94,94,2.68,NZ,1689927115
9,st. john's,47.5649,-52.7093,18.97,92,95,2.24,CA,1689926931
10,tsiombe,-25.3,45.4833,18.92,63,100,6.62,MG,1689927115
11,bethel,41.3712,-73.414,22.58,91,100,0.0,US,1689927115
12,whitehorse,60.7161,-135.0538,17.67,57,75,2.06,CA,1689927116
13,edinburgh of the seven seas,-37.0676,-12.3116,12.04,68,19,10.67,SH,1689927116
14,yeniseysk,58.4497,92.1703,30.02,28,90,4.77,RU,1689926999
15,port-aux-francais,-49.35,70.2167,1.13,54,74,15.45,TF,1689927116
16,grytviken,-54.2811,-36.5092,-0.19,86,58,2.78,GS,1689926917
17,adamstown,-25.066,-130.1015,21.67,79,100,10.43,PN,1689927117
18,thunder bay,48.4001,-89.3168,12.99,94,0,2.06,CA,1689927117
19,bredasdorp,-34.5322,20.0403,9.26,66,37,3.32,ZA,1689927117
20,tiksi,71.6872,128.8694,5.71,68,58,1.88,RU,1689927117
21,praia da vitoria,38.7333,-27.0667,20.98,95,100,2.26,PT,1689927118
22,afaahiti,-17.75,-149.2833,20.93,65,10,8.13,PF,1689927118
23,pavlodar,52.3,76.95,30.89,30,0,8.0,KZ,1689927118
24,minas de marcona,-15.2119,-75.1103,12.84,84,0,2.2,PE,1689927119
25,aasiaat,68.7098,-52.8699,3.87,98,100,2.65,GL,1689927119
26,west island,-12.1568,96.8225,26.99,74,75,7.72,CC,1689927119
27,nicoya,10.1483,-85.452,24.0,92,100,1.25,CR,1689927119
28,ushuaia,-54.8,-68.3,-5.07,95,100,1.64,AR,1689927120
29,mhamid,29.82,-5.72,36.42,9,5,2.73,MA,1689927120
30,bielsk podlaski,52.7651,23.1865,21.68,45,87,3.96,PL,1689926843
31,port mathurin,-19.6833,63.4167,23.34,61,6,4.47,MU,1689927120
32,longyearbyen,78.2186,15.6401,8.91,76,100,4.63,SJ,1689926909
33,tofol,5.3248,163.0078,25.88,94,100,1.54,FM,1689927120
34,remire-montjoly,4.9167,-52.2667,22.02,100,20,0.0,GF,1689927121
35,happy valley-goose bay,53.3168,-60.3315,13.17,88,20,2.57,CA,1689927121
36,maba,24.6841,113.5984,32.77,60,25,3.12,CN,1689927121
37,puerto natales,-51.7236,-72.4875,-1.45,97,100,1.96,CL,1689927122
